,Tweets
641,RT @hodgetwins: So is it ok for me to say Only women can get pregnant. Someone tell Netflix https://t.co/y4UveeeHyZ
642,My Netflix position is not playing out in my favor yet. Wondering where the bottom is. I’ll put more on if it gets to $150.
643,"(we've all read the books, after my oldest son discovered the webcomics a couple of years ago) Said son declared himself too old and cynical to watch, but has since binge watched the whole series three times 😂 @netflix season 2 ASAP please!"
644,RT @hodgetwins: So is it ok for me to say Only women can get pregnant. Someone tell Netflix https://t.co/y4UveeeHyZ
645,"RT @PopBase: ‘Heartstopper’ is officially one of Netflix’s most critically-acclaimed shows ever, with a perfect score of 100% on Rotten Tom…"
646,"RT @LEEDOHYUN_SKY95: Watch Actor #LeeDoHyun's Amazing Eye-Acting Skills on Netflix 'Melancholia' ! 💕 (Now available)

#Melancholia #이도현 htt…"
647,"RT @IngrahamAngle: Netflix losing subscribers.
CNN+ shuts down.
Disney stock value dropping.
Twitter takeover by Musk.

Just the beginning?"
648,RT @KingJosiah54: When LeBron see Kyrie in the Maldives https://t.co/i2UDKqc5IS
649,"@WhoAmIIM 10k aja kak

halo!
aku jual app prem nih 🙀 ada netflix, disney, youtube, spotify, hbo go/max, wetv, viu, iqiyi, canva, scribd, vidio, grammarly, dll!

✔️ aman, legal, proses cepat, trusted 6000+ testi
💸 all e-wallet, qris, bca
💌 dm/wa : https://t.co/6uoOCTMZij https://t.co/p6lbeoGRTq"
650,"@NafNaf_flc Bro there was this one that was pregnant that came in my place through a window. Everytime I came home I'd find it on my sofa chilling, watching Netflix https://t.co/mGiMK2u50w"
651,"RT @PopBase: ‘Heartstopper’ is officially one of Netflix’s most critically-acclaimed shows ever, with a perfect score of 100% on Rotten Tom…"
652,how did i just find out that 365 days 2 releases tomorrow on netflix…?????
653,"RT @vickyandbunny: Anyways. Rejected by Netflix. My works are great, and I make beautiful films. Their loss. I am just gonna keep working h…"
654,"RT @PopBase: ‘Heartstopper’ is officially one of Netflix’s most critically-acclaimed shows ever, with a perfect score of 100% on Rotten Tom…"
655,@LukeShoeFitter @bryanfogel @netflix @ovi8 @NHL @Capitals There is A LOT of $$ at play in international sport at this level!
656,RT @Karthikravivarm: #TheGrayMan July 22nd on Netflix https://t.co/fR2t3NFjva
657,"@hodgetwins Want to hear something funny! I bought a couple shares of Netflix a while back at $362 dollars.
Today its worth under $200 thanks to garbage content like this…😞"
658,RT @box0fficeindia: #RadheShyam (Hindi) Set to Stream on #Netflix from 3rd May. #Prabhas
659,@thegaffer I think it's also that the stuff they churn out stinks.  Few months ago was watching a Netflix original movie with the lady I was seeing and right after we watched the movie Public Enemies and she was blown away by how much better the studio movie was than the Netflix one
660,I mean I tried 🥲 i am not at good sketching 🙊 @kit_connor #NICKNELSON #Heartstopper @NetflixUK #netflix https://t.co/M3K40ZCQad
661,RT @hodgetwins: So is it ok for me to say Only women can get pregnant. Someone tell Netflix https://t.co/y4UveeeHyZ
662,RT @BROWNIE__XX: Please someone recommend good Netflix series with game of thrones type of settings Abeg 🤲🏾🤲🏾🤲🏾
663,"RT @sejeong_news: [📊] Business Proposal Netflix Rankings for April 26

• #5 in Top 10 TV shows on Netflix worldwide (316 pts)
• #1 in Hong…"
664,"RT @IngrahamAngle: Netflix losing subscribers.
CNN+ shuts down.
Disney stock value dropping.
Twitter takeover by Musk.

Just the beginning?"
665,"RT @snyder_all: Since exposing WB's management,

- Ray Fisher was in a project produced by Jay Z and Will Smith

- Will star in Netflix big…"
666,"RT @netflix: The fans are ready. Are you? Ozark, the final episodes, streaming this Friday. https://t.co/DVaWE6vrHa"
667,@Mr_BotDMT nice. netflix needs to stop their shate yk
668,RT @veritynicole_: been obsessed with the show bridgerton lately on netflix https://t.co/mq5HaWfnsD
669,"RT @reckless: Between Twitter employees unhappy with change, Netflix employees unhappy with new pay leveling, and the amount of money float…"
670,.@Amazon @Apple @Exelon @Google @HP @Meta @Microsoft @Netflix @PepsiCo @Salesforce @Walmart heed the urgent call from @BillWeihl and @MichaelEMann to “stand up” for $555 billion in climate investments. #GoTimeForClimate #30DaysOfClimate #30DayChallenge https://t.co/f1yyoHngA5
671,"@AmazonStudios @PrimeVideo @jennyhan @thesummeritp You did not take the hint from Netflix. We live in America. We prefer Americans, not oriental."
672,"@NFTCompanyy SUPERMETA+  🔥🔥🔥
@supermetaplus_ NFT
WHITELIST open for Collection 02 X Jody Tseng (produced BRAVE Animated Series on NETFLIX)
✅ Robust holder benefits
✅ Roadmap already in development
✅ Experienced Team
JOIN⬇️⬇️⬇️
https://t.co/YIXGZP9EwQ
#NFT #NFTs #NFTCommunity #Ethereum https://t.co/TO64e2OT9V"
673,"RT @MoosCrewOffcl: Kingdom netflix version Cheetor/Primal, scratchless Galvatron, and Soundwave. 
There are more examples I am sure. But th…"
674,"RT @PopBase: ‘Heartstopper’ is officially one of Netflix’s most critically-acclaimed shows ever, with a perfect score of 100% on Rotten Tom…"
675,"1099. spotify inplan 1 bulan
1100. spotify inplan 3 bulan
1101. spotify inplan 1 bulan
1102. netflix 1 hari

#testiaumy https://t.co/KwuSFLUo2Q"
676,RT @ActorRebelstar: #RadheShyam (Hindi) Will Stream on  #Netflix From May 3rd!! #Prabhas https://t.co/RZxxZJAFTh
677,RT @dhanushkraja: The gray man  #TheGrayMan @NetflixFilm July 22nd on Netflix @Russo_Brothers https://t.co/yAXte77C2G
678,"RT @HeraJabami: Do you prefer to watch Netflix? 🥵

24h 👀👀👀👀 https://t.co/zYKNfX6lCV"
679,"RT @PopBase: ‘Heartstopper’ is officially one of Netflix’s most critically-acclaimed shows ever, with a perfect score of 100% on Rotten Tom…"
680,"@qtdixa * /  mt only 🖤
Netflix or dinner : dinner 
kiss or hug : hug hug 
baby or daddy  : baby meow meow
challenge or up to you : up to you"
681,"@elonmusk after you takeover fakebook, netflix, disney, lets work on unleashing the cures for cancer, diabetes, alzheimers, etc that have been kept hidden from us. Healing beds? The Elon Bed has a nice ring to it."
682,"RT @kiaolivias: @netflix yes it does, iconic if you ask me https://t.co/YPAE7W9oct"
683,"RT @vickyandbunny: Anyways. Rejected by Netflix. My works are great, and I make beautiful films. Their loss. I am just gonna keep working h…"
684,RT @dhanushkraja: The gray man  #TheGrayMan @NetflixFilm July 22nd on Netflix @Russo_Brothers https://t.co/yAXte77C2G
685,"RT @PopBase: ‘Heartstopper’ is officially one of Netflix’s most critically-acclaimed shows ever, with a perfect score of 100% on Rotten Tom…"
686,"RT @PopBase: ‘Heartstopper’ is officially one of Netflix’s most critically-acclaimed shows ever, with a perfect score of 100% on Rotten Tom…"
687,"RT @IngrahamAngle: Netflix losing subscribers.
CNN+ shuts down.
Disney stock value dropping.
Twitter takeover by Musk.

Just the beginning?"
688,"@vickyandbunny @Xion_Sempai Netflix = -2000iq.
They decide go bankrutp"
689,"RT @Viviana2451: Can I invite you over to watch anime, Netflix and play with Pokémon?  🙈 https://t.co/dsGrrHKP72"
690,"RT @PopBase: ‘Heartstopper’ is officially one of Netflix’s most critically-acclaimed shows ever, with a perfect score of 100% on Rotten Tom…"
691,"@ARFrederiksen Actually it’s coming to Apple + so I was wrong to say Netflix, but STILL! The flailing."
692,RT @netflix: It’s Ryan Gosling vs. Chris Evans in The Gray Man — FIRST LOOK: https://t.co/YWxFRJW62D
693,"RT @PopBase: ‘Heartstopper’ is officially one of Netflix’s most critically-acclaimed shows ever, with a perfect score of 100% on Rotten Tom…"
694,"RT @delitecinemas: First Look of @dhanushkraja in  #TheGrayMan 🔥🔥🔥

#Dhanush #Netflix https://t.co/HF3nQrxPwn"
695,"RT @vickyandbunny: Anyways. Rejected by Netflix. My works are great, and I make beautiful films. Their loss. I am just gonna keep working h…"
696,"Netflix: Crap. We're hemorrhaging subscribers and our stock is in free fall. We need some new killer content immediately.

Rowan Atkinson: Hold my spatula. https://t.co/0cbiydIVis"
697,"RT @vickyandbunny: Anyways. Rejected by Netflix. My works are great, and I make beautiful films. Their loss. I am just gonna keep working h…"
698,"RT @vickyandbunny: Anyways. Rejected by Netflix. My works are great, and I make beautiful films. Their loss. I am just gonna keep working h…"
699,"RT @PopBase: ‘Heartstopper’ is officially one of Netflix’s most critically-acclaimed shows ever, with a perfect score of 100% on Rotten Tom…"
700,RT @dhanushkraja: The gray man  #TheGrayMan @NetflixFilm July 22nd on Netflix @Russo_Brothers https://t.co/yAXte77C2G
701,@hufflepuffsimp b...bestie netflix charlie or webtoon charlie
702,RT @DannyWxo: @netflix Kit Connor really delivered in every single scene like his rent was due and the eviction notice was on the door and…
703,@PopBase @kit_connor @joelocke03 a win for netflix !!!  https://t.co/z2UlgcAKKq
704,RT @torrie_valdes: I’d like to tweet for the first time after several months. Madlyn from The Ultimatum on Netflix is the most toxic girl I…
705,"RT @snyder_all: Since exposing WB's management,

- Ray Fisher was in a project produced by Jay Z and Will Smith

- Will star in Netflix big…"
706,RT @dhanushkraja: The gray man  #TheGrayMan @NetflixFilm July 22nd on Netflix @Russo_Brothers https://t.co/yAXte77C2G
707,@ASoftstar When’s the Netflix version happening ?
708,RT @hodgetwins: So is it ok for me to say Only women can get pregnant. Someone tell Netflix https://t.co/y4UveeeHyZ
709,Two upstart stocks in the streaming world to keep an eye on as Netflix tumbles. https://t.co/eqaFuUldaY #stocks #business
710,"That's how we tame them. Well done Bharat! Hit them where it hurts and you can watch Azadi ki Amrit Kahaniyan on Netflix 😉 @SriramKannan77 @AkshitaSinghB @Anamikaa6969 @RatanSharda55 @RajniGoswami8 @RamaPothineni @artmagneto @itsShilpiS @BharadiyaSuhani 
https://t.co/7rWonvJULQ"
711,"RT @PopBase: ‘Heartstopper’ is officially one of Netflix’s most critically-acclaimed shows ever, with a perfect score of 100% on Rotten Tom…"
712,"RT @vickyandbunny: Anyways. Rejected by Netflix. My works are great, and I make beautiful films. Their loss. I am just gonna keep working h…"
713,RT @netflix: It’s Ryan Gosling vs. Chris Evans in The Gray Man — FIRST LOOK: https://t.co/YWxFRJW62D
714,Is ‘Dialogue Earth’ on Netflix UK? Where to Watch the Documentary https://t.co/KNLxkOqdWx
715,RT @Variety: ‘Heartstopper’ Tops Twitter Chart After Netflix Debut https://t.co/8hZIjI2aCV
716,"RT @vickyandbunny: Anyways. Rejected by Netflix. My works are great, and I make beautiful films. Their loss. I am just gonna keep working h…"
717,"RT @snyder_all: Since exposing WB's management,

- Ray Fisher was in a project produced by Jay Z and Will Smith

- Will star in Netflix big…"
718,@smolflacko @ifitaintselgo Netflix is kinda full of those so disney +
719,"RT @OSPyoutube: and so netflix, hearing the prophecy of its doom, sacrificed its animation projects and exposed its hype titles on the moun…"
720,"RT @Heartstopper_TV: netflix posted this clip on instagram and the caption has me crying all over again:

""i hope everyone who's had to sac…"
721,"RT @Reuters: After Netflix fell 35% in one day last week, investors are wondering if the credits are rolling on media stocks. Adam Coons of…"
722,"RT @PopBase: ‘Heartstopper’ is officially one of Netflix’s most critically-acclaimed shows ever, with a perfect score of 100% on Rotten Tom…"
723,"From the busy streets of Paris to the beaches of Étretat, @netflix's #Lupin captures the beauty of #France. https://t.co/lTTizKJi7a https://t.co/6oJJYVmLmS"
724,"RT @PopBase: ‘Heartstopper’ is officially one of Netflix’s most critically-acclaimed shows ever, with a perfect score of 100% on Rotten Tom…"
725,"@Variety @DIRECTV Queer? Coming of age? 
You mean grooming of our youth through sexual indoctrination, I fixed that header for you. Just another reason my entire foamily canceled Netflix. Not in my home, not ever."
726,RT @jaymo_ke: With all durexpect let's Netflix and chill.😌
727,"RT @HollywoodTamil0: The official first look's #TheGrayMan 

@RyanGosling @ChrisEvans @dhanushkraja Ana de Armas

Premiering On Netflix Fro…"
728,"RT @PopBase: ‘Heartstopper’ is officially one of Netflix’s most critically-acclaimed shows ever, with a perfect score of 100% on Rotten Tom…"
729,"RT @nandha_reports: waiting thalaiva..@dhanushkraja  

#TheGrayMan #Dhanush #dhanushkraja  #Netflix https://t.co/P0hw5ol0jW"
730,RT @netflix: SCREAM (1996) https://t.co/LV6LZar2JH
731,RT @stardream61016: Another reason to hate on Netflix https://t.co/Nk6QyfQwpc
732,RT @netflix: This moment of realization in Heartstopper is a crucial reminder that having a few people who love you for who you are is much…
733,"$SPY $DIA $IWM $QQQ $IBB $XBI 

India &amp; Indian people must ban American companies; Indians ban Walmart, Amazon, Netflix, Facebook, Tweeter, Microsoft, Google, American car companies, CNN, Foxnews, Bloomberg."
734,"RT @vickyandbunny: Anyways. Rejected by Netflix. My works are great, and I make beautiful films. Their loss. I am just gonna keep working h…"
735,"RT @vickyandbunny: Anyways. Rejected by Netflix. My works are great, and I make beautiful films. Their loss. I am just gonna keep working h…"
736,"RT @vickyandbunny: Anyways. Rejected by Netflix. My works are great, and I make beautiful films. Their loss. I am just gonna keep working h…"
737,I tweet for the people that recognize the grace of Beyoncé giving us her Coachella performance on Netflix.
738,"RT @vickyandbunny: Anyways. Rejected by Netflix. My works are great, and I make beautiful films. Their loss. I am just gonna keep working h…"
739,"RT @PopBase: ‘Heartstopper’ is officially one of Netflix’s most critically-acclaimed shows ever, with a perfect score of 100% on Rotten Tom…"
740,"Here is @dhanushkraja first look for #TheGrayMan. The movie will be out on July 22 on Netflix, 17th July in theatres. @AGBOfilms https://t.co/UJeLHOLgoK"
741,"RT @layzhngy: Netflix Premium Account For Sale Ph 

💌Dm me to avail and more info https://t.co/Lr7zf9hpJk"
742,"Sometimes when you throw on a new show, you just know that it’s going to revitalize your Spotify. #Heartstopper is one of those shows: https://t.co/3EVRUXvoyD https://t.co/kD26YtdJK0"
743,"RT @BarackObama: Our Great National Parks is out today on @Netflix, and I can't wait for you to watch it. This @HGMedia series takes a look…"
744,"RT @PopBase: ‘Heartstopper’ is officially one of Netflix’s most critically-acclaimed shows ever, with a perfect score of 100% on Rotten Tom…"
745,RT @jsxrinarx: Who wants to watch an anime movie on Netflix with me? 😇 https://t.co/7OlFrDyFow
746,"RT @PopBase: ‘Heartstopper’ is officially one of Netflix’s most critically-acclaimed shows ever, with a perfect score of 100% on Rotten Tom…"
747,RT @netflix: SCREAM (1996) https://t.co/LV6LZar2JH
748,"RT @Queensynto: Hi can i be your girlfriend, We will watch Netflix and play Anime &amp; Pokémon together 😍 https://t.co/WuAxTID2my"
749,"I get why it is the way it is, but think of how much more hype and sponsorship investment you'd be able to get if you broke your tournament up in to segments and aired the matches for like, an hour at a time, once a week, similar to a tv season vs the Netflix model we use now."
750,"RT @DansLieOfTheDay: In a desperate hunt for content, Netflix is paying young women $2,000,000 to commit a crime and giving Netflix exclusi…"
751,"RT @PopBase: ‘Heartstopper’ is officially one of Netflix’s most critically-acclaimed shows ever, with a perfect score of 100% on Rotten Tom…"
752,@lollypeezle Next time carry power bank and MP. You go thank me later. No forget to get subscription for Netflix.
753,"RT @PopBase: ‘Heartstopper’ is officially one of Netflix’s most critically-acclaimed shows ever, with a perfect score of 100% on Rotten Tom…"
754,"RT @isthtmus: Netflix be so insecure , yea babe I’m still here"
755,"RT @ighaworth: If you’re leaving Twitter because of a billionaire, you might want to consider:
❌ Facebook &amp; Instagram (Mark Zuckerberg)
❌ A…"
756,"RT @vickyandbunny: Anyways. Rejected by Netflix. My works are great, and I make beautiful films. Their loss. I am just gonna keep working h…"
757,RT @SureshKondi_: .@dhanushkraja's The gray man  #TheGrayMan @NetflixFilm July 22nd on Netflix @Russo_Brothers https://t.co/RBRLr7LM3W
758,RT @rPrequelMemes: The fall of Netflix... https://t.co/FNXg1ppwyV https://t.co/cTu32lUwk0
759,Renew for season 2 and 3 https://t.co/yJ42pyimbR
760,RT @netflix: It’s Ryan Gosling vs. Chris Evans in The Gray Man — FIRST LOOK: https://t.co/YWxFRJW62D
761,"RT @NetflixFilm: This is a love worth fighting for.


Dakota Johnson stars in PERSUASION, based on the novel by Jane Austen, most humbly yo…"
762,"RT @vickyandbunny: Anyways. Rejected by Netflix. My works are great, and I make beautiful films. Their loss. I am just gonna keep working h…"
763,"@PIB_India @NetflixIndia @MIB_India @netflix Dear @PMOIndia the @DDNational has the biggest reach to the common Bharatiya without even paying any subscription out of pocket.
Why are you engaging with anti-Hindu anti-Bharat woke outlet like #Netflix ?

https://t.co/2fIs4slRlC"
764,"RT @hazelluvly: Rihanna  body,Beyonce  sexy ,Wizkid  vibes ,need me a boyfriend that loves Anime Pokemon Netflix and chill🥰 https://t.co/BT…"
765,RT @rosealinaof: Te paso a buscar y vemos Pokémon en Netflix? 😈😍 RT https://t.co/TWHhIwYnhI
766,"@goodday_gronola Ada kak yuk dm
PREMIUM APPS
✔️trusted 
✔️bergaransi
💳All e-wallet, BRI, Qris
👉DM / WA ➡️ https://t.co/L51jnE9v1d
🔎500+ testi on bio

jual netflix spotify youtube wetv viu Disney HBO go iqiyi vidio Drakor id canva  grammarly Scribd am vsco remini https://t.co/PdzwzTuEpR"
767,RT @dhanushkraja: The gray man  #TheGrayMan @NetflixFilm July 22nd on Netflix @Russo_Brothers https://t.co/yAXte77C2G
768,RT @netflix: It’s Ryan Gosling vs. Chris Evans in The Gray Man — FIRST LOOK: https://t.co/YWxFRJW62D
769,RT @sekartweets: First look of @dhanushkraja from his @netflix film #TheGrayMan 🔥🔥 https://t.co/SoUd4YKhRK
770,"@netflix Wow,can't wait to see!🫣"
771,@BarackObama @netflix @HGMedia Outstanding series!
772,"RT @nickisnotgreen: best tv show for each streaming service
hbo max: barry
netflix: i think you should leave
prime: the boys
disney+: moon…"
773,"The only @netflix documentary I need in my life right now is a rollercoaster love story gone off the rails for Johnny Depp and Amber Heard, call it Shit Happens or something

Come on, this thing will resurrect the share price in hours. Get to work 😂🤞🙏🙌 #JohnnyDeppVsAmberHeard"
774,Both actors' facial hair is their own character. #ChrisEvans #RyanGosling #TheGrayMan https://t.co/fzWw47c676
775,"RT @VenghaiMohan: International actor @dhanushkraja star ..

The gray man  #TheGrayMan @NetflixFilm July 22nd on Netflix @Russo_Brothers ht…"
776,"RT @snyder_all: Since exposing WB's management,

- Ray Fisher was in a project produced by Jay Z and Will Smith

- Will star in Netflix big…"
777,RT @dhanushkraja: The gray man  #TheGrayMan @NetflixFilm July 22nd on Netflix @Russo_Brothers https://t.co/yAXte77C2G
778,Are y'all trying to bring down Will Smith's entire career just because he slapped Chris for shadding his wife? Funny! Haters all out! #Netflix #WillSmith
779,RT @Sri_Dilani: The gray man  #TheGrayMan @NetflixFilm July 22nd on Netflix @Russo_Brothers ❤️ https://t.co/r2AiN9PEjO
780,"‘Heartstopper’ is officially one of Netflix’s most critically-acclaimed shows ever, with a perfect score of 100% on Rotten Tomatoes. https://t.co/CpwVktImal"
781,"@vickyandbunny WOW OKAY I'M NOT TRYING TO BE DRAMATIC BUT YOUR ART MADE ME TEAR UP, LEGIT THE COLORS AND STYLE AND EVERYTHING IS SO PRETTY AND COOL?? netflix boycott for real 🤨 /j"
782,RT @dhanushkraja: The gray man  #TheGrayMan @NetflixFilm July 22nd on Netflix @Russo_Brothers https://t.co/yAXte77C2G
783,"RT @TheDiamondNFT: 🎊🎁#NFTGiveaway Supermeta+🎁🎊

• 1x Deadmates #NFT ($250)
• 10x Project J WL

Enter
1⃣Follow @supermetaplus_ &amp; Me 
2⃣RT +…"
784,RT @BBCLauraKT: BREAKING: The government have set up a Cost of Living Working Group to give ordinary people handy money saving tips. So far…
785,RT @Sigal_Acon: Let's go home and watch some Netflix 🍿 https://t.co/4KcE4OWSJs
786,"RT @vickyandbunny: Anyways. Rejected by Netflix. My works are great, and I make beautiful films. Their loss. I am just gonna keep working h…"
787,"@iam_Vaithy @muthuwu @NetflixIndia @Netflix_INSouth Dhanush has had big openings in the recent past (Karnan etc) and he's more than just a recognisable face in bollywood after atrangi re atleast, he's got a good number of audience which makes theater release a likely possibility"
788,RT @Variety: ‘Heartstopper’ Tops Twitter Chart After Netflix Debut https://t.co/8hZIjI2aCV
789,"RT @vickyandbunny: Anyways. Rejected by Netflix. My works are great, and I make beautiful films. Their loss. I am just gonna keep working h…"
790,"RT @gowri_gal: TOP 10 Movies on @NetflixIndia 🇮🇳 from #TamilNadu (All Languages) 2021

💫 #Dhanush’s #JagameThanthiram - 9th
💫 #Rajinikanth’…"
791,RT @adonishayesxxx: Netflix and chill homie? 😎 https://t.co/9WkjwVnB5x
792,RT @prettyboynavi: netflix be having the movie in the search bar but not on netflix😭
793,"RT @vickyandbunny: Anyways. Rejected by Netflix. My works are great, and I make beautiful films. Their loss. I am just gonna keep working h…"
794,"RT @IngrahamAngle: Netflix losing subscribers.
CNN+ shuts down.
Disney stock value dropping.
Twitter takeover by Musk.

Just the beginning?"
795,"RT @sejeong_news: [📊] Business Proposal Netflix Rankings for April 26

• #5 in Top 10 TV shows on Netflix worldwide (316 pts)
• #1 in Hong…"
796,RT @SureshKondi_: .@dhanushkraja's The gray man  #TheGrayMan @NetflixFilm July 22nd on Netflix @Russo_Brothers https://t.co/RBRLr7LM3W
797,@ceepee221 it's based on the cgi netflix reboot that i never finished watching tho... https://t.co/XRkCK9rIhv
798,"RT @GauravS7707: The first look of #Dhanush in the much-awaited #Netflix film #TheGrayMan, starring Ryan Gosling, Chris Evans, Ana de Armas…"
799,"RT @vickyandbunny: Anyways. Rejected by Netflix. My works are great, and I make beautiful films. Their loss. I am just gonna keep working h…"
800,"RT @IngrahamAngle: Netflix losing subscribers.
CNN+ shuts down.
Disney stock value dropping.
Twitter takeover by Musk.

Just the beginning?"
801,RT @veritynicole_: been obsessed with the show bridgerton lately on netflix https://t.co/mq5HaWfnsD
802,"RT @Sammykinz: Hey @paramountplus @IMDbTV @PrimeVideo @netflix @hulu!!! @CBS settled their lawsuit for MacGyver, so if you want a fantastic…"
803,"RT @previewph: Including Kathryn Bernardo and Daniel Padilla’s comeback teleserye ""2 Good 2 Be True"".
https://t.co/M8tX3cSjqn"
804,"RT @Heartstopper_TV: THEY'RE THE MOMENT!!

Heartstopper is now officially certified fresh on rotten tomatoes with 100% critics score, being…"
805,"@p4watx * /  mt only 🖤
Netflix or dinner : Dinner first, then watch Netflix.?
kiss or hug : hug 
baby or daddy  : dadby
challenge or up to you : up to you"
806,"@lovingjakee yuk 15k sebulan

halo!
aku jual app prem nih 🙀 ada netflix, disney, youtube, spotify, hbo go/max, wetv, viu, iqiyi, canva, scribd, vidio, grammarly, dll!

✔️ aman, legal, proses cepat, trusted 6000+ testi
💸 all e-wallet, qris, bca
💌 dm/wa : https://t.co/6uoOCTMZij https://t.co/A0niwLc252"
807,"RT @HollywoodTamil0: The official first look's #TheGrayMan 

@RyanGosling @ChrisEvans @dhanushkraja Ana de Armas

Premiering On Netflix Fro…"
808,RT @dhanushkraja: The gray man  #TheGrayMan @NetflixFilm July 22nd on Netflix @Russo_Brothers https://t.co/yAXte77C2G
809,RT @dhanushkraja: The gray man  #TheGrayMan @NetflixFilm July 22nd on Netflix @Russo_Brothers https://t.co/yAXte77C2G
810,"And not because it's a malicious interloper pulling the levers now but because people DO NOT LIKE preachers who have a long history of hypocrisy and corruption.

Just like Netflix and Disney people finally have a choice when they have both sides of a narrative."
811,RT @AngieCoss2002: Pikachu I choose you! Come to my crib so we can watch Netflix or Pokémon 🍑 https://t.co/g5tObvZkpr
812,"RT @AniGuha: Ryan Gosling, Chris Evans, Regé-Jean Page and…

Dhanush. How to not be excited? 

#TheGrayMan on @netflix. https://t.co/JmAXSk…"
813,"RT @vickyandbunny: Anyways. Rejected by Netflix. My works are great, and I make beautiful films. Their loss. I am just gonna keep working h…"
814,RT @roy183sourav: First look of @dhanushkraja for #TheGrayMan on Netflix..the film also star chris evans and ryan Gosling https://t.co/LYX1…
815,RT @hodgetwins: So is it ok for me to say Only women can get pregnant. Someone tell Netflix https://t.co/y4UveeeHyZ
816,anybody watching the pacific rim anime on netflix?
817,"RT @vickyandbunny: Anyways. Rejected by Netflix. My works are great, and I make beautiful films. Their loss. I am just gonna keep working h…"
818,RT @jaymo_ke: With all durexpect let's Netflix and chill.😌
819,RT @evensfiIm: state of grace red taylor's version taylor swift heartstopper web comic series tv show trailer teaser release date 22 april…
820,"RT @netflix: The fans are ready. Are you? Ozark, the final episodes, streaming this Friday. https://t.co/DVaWE6vrHa"
821,RT @hodgetwins: So is it ok for me to say Only women can get pregnant. Someone tell Netflix https://t.co/y4UveeeHyZ
822,@guardian Nobody NEEDS Netflix when everything is available online for free.
823,"After Netflix fell 35% in one day last week, investors are wondering if the credits are rolling on media stocks. Adam Coons of Winthrop Capital Management tells us some will struggle, but the best content will win out https://t.co/pc7OuSkDlD"
824,The best show Netflix ever had to offer ends this week (Ozark) and I’m distraught to say the least
825,RT @netflix: SCREAM (1996) https://t.co/LV6LZar2JH
826,"RT @vickyandbunny: Anyways. Rejected by Netflix. My works are great, and I make beautiful films. Their loss. I am just gonna keep working h…"
827,"RT @TastefulTyrant: We’re far from winning but the whitepills keep piling up:

-Rittenhouse: Won
-Rogan: Cancellation failed
-COVID: Ended…"
828,"RT @vickyandbunny: Anyways. Rejected by Netflix. My works are great, and I make beautiful films. Their loss. I am just gonna keep working h…"
829,"@Hideki_Naganuma That's technically true since Elon couldn't accept that his ex left him for a trans girl.

So he began whining about ""wokism"" on Netflix."
830,RT @uzayvert: girls get a playstation jus to watch Netflix and play fortnite
831,@netflix Brawl for Netflix. https://t.co/fSIu3DRCpJ
832,"RT @vickyandbunny: Anyways. Rejected by Netflix. My works are great, and I make beautiful films. Their loss. I am just gonna keep working h…"
833,RT @dhanushkraja: The gray man  #TheGrayMan @NetflixFilm July 22nd on Netflix @Russo_Brothers https://t.co/yAXte77C2G
834,"RT @PaulCollider: @SenWarren You have a house, make $100k/year, and bought Netflix at $1 and haven't touched it.

Last year you were charge…"
835,RT @dhanushkraja: The gray man  #TheGrayMan @NetflixFilm July 22nd on Netflix @Russo_Brothers https://t.co/yAXte77C2G
836,RT @ginalinette_: Watched Gangubai on Netflix and it's gonna take 2-5 business days to get out of the character.Such an outstanding perform…
837,&gt;that time Netflix hired cunnyposters to make a movie https://t.co/d9rpIeWszu
838,Heartstopper on Netflix 🥲😩😍
839,"RT @Lanches59287740: All I want from this new Netflix agreement is South African movies and TV shows that's not about heists, aids, aparthe…"
840,RT @hodgetwins: So is it ok for me to say Only women can get pregnant. Someone tell Netflix https://t.co/y4UveeeHyZ
841,"RT @_oluwaseun9: For erotic comics and wallpapers, regular wallpapers, Netflix logins, hookups, sure legit betting odds🔥🔥🔥 

https://t.co/v…"
842,"Why Are TV Shows So Expensive Right Now? 

#culture #streaming #Netflix https://t.co/GpKCVEmxqw https://t.co/5fbrpQ3rOq"
843,"RT @vamsikaka: The First Look of @dhanushkraja from @NetflixFilm's #TheGrayMan Directed by @Russo_Brothers Releases on Netflix, July 22nd h…"
844,RT @dhanushkraja: The gray man  #TheGrayMan @NetflixFilm July 22nd on Netflix @Russo_Brothers https://t.co/yAXte77C2G
845,"RT @MimiBb_2: Forget Rihanna &amp; Beyonce, Can i be your girlfriend, We will watch Netflix and play Anime &amp; Pokémon together 😍 https://t.co/VF…"
846,RT @hodgetwins: So is it ok for me to say Only women can get pregnant. Someone tell Netflix https://t.co/y4UveeeHyZ
847,"RT @TheTwistedGrim: 👀Shuuko Komi👀

Recently watched this netflix series called ''Komi can't comunicate'', mommy is a cutie &lt;3

BG @Mizu_wol…"
848,"Hopefully this will send a message to other hard-left woke media companies. Netflix stock price today drops below $200 a staggering 70% loss in 6 months.

#NetflixTanks https://t.co/4cb2dJDUoX"
849,"RT @dolomiteHEX: It is sad for the people that bought this $NFLX stock a year ago.

Sorry for you guys/girls.

Next time, consider $HEX!!!!…"
850,"RT @vickyandbunny: Anyways. Rejected by Netflix. My works are great, and I make beautiful films. Their loss. I am just gonna keep working h…"
851,"RT @vickyandbunny: Anyways. Rejected by Netflix. My works are great, and I make beautiful films. Their loss. I am just gonna keep working h…"
